,train_loss,train_accuracy,val_loss,val_accuracy
0,0.42845115,0.8208409,0.40092444,0.84875
1,0.3869723,0.84041595,0.3759604,0.84999996
2,0.36377722,0.8450949,0.36384875,0.8358333
3,0.3440627,0.85113025,0.33703312,0.84666663
4,0.31227943,0.8650995,0.2856431,0.875
5,0.30606374,0.8722649,0.2958,0.8716666
6,0.28601837,0.88492316,0.3121219,0.8775
7,0.25407797,0.8947785,0.33212858,0.8595833
8,0.25585014,0.8988924,0.29824203,0.8854166
9,0.25316975,0.89789784,0.2634736,0.8879166
10,0.24061929,0.9019666,0.2895045,0.89625
11,0.2529272,0.89568263,0.24936046,0.90166664
12,0.22095957,0.9126582,0.26698384,0.87708336
13,0.23313928,0.9028029,0.21146825,0.91249996
14,0.20898509,0.91661394,0.2567589,0.9054166
15,0.20242079,0.921519,0.21184307,0.9191666
16,0.19779816,0.92237794,0.22360356,0.9029166
17,0.1966398,0.92025316,0.20923546,0.90875
18,0.2179691,0.91281646,0.24490479,0.90749997
19,0.18933906,0.92816454,0.23159368,0.90416664
20,0.18664528,0.9300633,0.19522962,0.91875
21,0.18088602,0.92906874,0.22546452,0.9054166
22,0.18456559,0.9260172,0.19447473,0.9229166
23,0.17026003,0.9368671,0.19366373,0.9179166
24,0.16731104,0.936076,0.24561346,0.9025
25,0.1646547,0.9341772,0.2563853,0.9166666
26,0.1518,0.941727,0.20436737,0.92375
27,0.16008332,0.9419304,0.20819895,0.9166666
28,0.15447114,0.9401899,0.22699952,0.92125
29,0.14173819,0.94789785,0.20528114,0.9204166
30,0.10673185,0.95981014,0.17780155,0.9375
31,0.09939862,0.96170884,0.1671701,0.9316666
32,0.09592591,0.96308774,0.17994449,0.92791665
33,0.094022155,0.96392405,0.18357672,0.9295833
34,0.08770219,0.9675633,0.1591847,0.9425
35,0.08109131,0.9727848,0.18413898,0.94291663
36,0.07689935,0.9719485,0.17345653,0.9425
37,0.07796956,0.9738924,0.18778557,0.93708336
38,0.08010894,0.9727848,0.17271397,0.9425
39,0.07585564,0.9734177,0.18179128,0.94124997
40,0.07139958,0.9749548,0.165488,0.9475
41,0.0563005,0.98148733,0.13936752,0.9475
42,0.0584019,0.97990507,0.1329196,0.955
43,0.06408197,0.97911394,0.13731824,0.94874996
44,0.056429904,0.980538,0.14693515,0.94041663
45,0.052877344,0.98322785,0.13877332,0.95
46,0.050897308,0.98417723,0.14586322,0.94374996
47,0.0578528,0.98148733,0.15810563,0.9425
48,0.05435619,0.980538,0.1553252,0.93958336
49,0.04864893,0.981962,0.13390711,0.95124996
50,0.048341364,0.98496836,0.1236895,0.95374995
51,0.040276915,0.9889241,0.15819134,0.94874996
52,0.046158224,0.9857595,0.14121912,0.95
53,0.043321352,0.98829114,0.123020686,0.9525
54,0.049772568,0.981962,0.1769013,0.945
55,0.04146486,0.9868671,0.1271423,0.95624995
56,0.04552867,0.9851266,0.13706988,0.95
57,0.04679924,0.9857595,0.20197727,0.95208335
58,0.04209642,0.98713833,0.15618144,0.9504166
59,0.041964307,0.9884494,0.13373855,0.95374995
60,0.03767214,0.9884494,0.14281718,0.94624996
61,0.039995484,0.9865506,0.14366437,0.95
62,0.043733444,0.98781645,0.14864577,0.95
63,0.047662724,0.98560125,0.16628511,0.9475
64,0.042592026,0.9875,0.12307979,0.95374995
65,0.04191429,0.98765826,0.14464805,0.95874995
66,0.03943927,0.9870253,0.14006835,0.94874996
67,0.044031218,0.987048,0.14714557,0.9425
68,0.044931553,0.98765826,0.19992834,0.9466666
69,0.040167954,0.98935354,0.13234578,0.9525
70,0.040969852,0.9875,0.12051696,0.95874995
71,0.046443794,0.9865506,0.16405664,0.9491666
72,0.048013233,0.9850362,0.12565906,0.9625
73,0.04078325,0.9871836,0.13332495,0.95874995
74,0.046654034,0.9843354,0.12959957,0.955
75,0.043960225,0.9867089,0.12614916,0.9491666
76,0.038031112,0.98829114,0.14595209,0.95374995
77,0.046960417,0.98650545,0.15619862,0.94624996
78,0.044699524,0.9862342,0.19705874,0.93958336
79,0.038914267,0.98829114,0.1524479,0.9454166
80,0.042811483,0.98781645,0.13788047,0.95916665
81,0.03921966,0.98734176,0.12046373,0.95124996
82,0.051568694,0.98293406,0.14419463,0.96125
83,0.041745745,0.9875,0.155505,0.9466666
84,0.042326335,0.98591775,0.11357248,0.95374995
85,0.03757015,0.9897152,0.12894942,0.9575
86,0.057529345,0.9881329,0.121910214,0.95624995
87,0.042769127,0.9886076,0.16001117,0.94374996
88,0.04726247,0.9838608,0.13862197,0.9525
89,0.04426762,0.98496836,0.17182939,0.94874996
90,0.0405777,0.9871836,0.12008245,0.9575
91,0.05512976,0.9879747,0.116215914,0.9541666
92,0.043817487,0.98781645,0.17967269,0.94708335
93,0.044331394,0.98496836,0.14235064,0.95374995
94,0.040461175,0.98734176,0.13059844,0.95
95,0.042911217,0.98560125,0.13046896,0.95124996
96,0.041853897,0.9870253,0.1365304,0.945
97,0.040921204,0.9867089,0.12617502,0.9529166
98,0.04410039,0.98650545,0.13413402,0.96
99,0.040102948,0.98650545,0.12859453,0.9525
