,train_loss,train_accuracy,val_loss,val_accuracy
0,0.4510245,0.81161845,0.4356486,0.81083333
1,0.3989981,0.8385624,0.36356306,0.84625
2,0.36130586,0.8480109,0.34751716,0.8404166
3,0.34642953,0.8558092,0.3292228,0.8504166
4,0.33192584,0.8647152,0.3257436,0.8725
5,0.3415766,0.8635624,0.2958909,0.87874997
6,0.2939759,0.87705696,0.29494688,0.8775
7,0.28997785,0.8837025,0.30647153,0.86249995
8,0.27088588,0.88872063,0.3004338,0.86041665
9,0.27773935,0.8868219,0.29726377,0.87791663
10,0.26929653,0.8859404,0.2917697,0.86833334
11,0.25251773,0.8966772,0.2582039,0.89166665
12,0.2500388,0.9031194,0.258309,0.8741666
13,0.23638362,0.9056058,0.266851,0.87833333
14,0.22987467,0.9080696,0.30309194,0.88624996
15,0.22220434,0.9113472,0.30313763,0.87208337
16,0.2356245,0.9075723,0.22682667,0.90875
17,0.21727681,0.9152577,0.28060445,0.8816666
18,0.21066102,0.9168852,0.2141637,0.91249996
19,0.21893133,0.91198015,0.21554065,0.91499996
20,0.20117004,0.92305607,0.25801983,0.895
21,0.19399409,0.92131555,0.24166372,0.89666665
22,0.19447058,0.92633367,0.19773008,0.91249996
23,0.184292,0.9266953,0.2409704,0.91499996
24,0.19693236,0.9240506,0.24439232,0.9141666
25,0.18656838,0.92974687,0.22887321,0.89666665
26,0.17653793,0.9297016,0.22302148,0.9
27,0.16393644,0.9389241,0.22900404,0.90749997
28,0.15971181,0.93908226,0.23281299,0.90958333
29,0.12502702,0.9558544,0.16508579,0.93125
30,0.116674885,0.95759493,0.1975091,0.9229166
31,0.10298521,0.9596067,0.17114511,0.9316666
32,0.09757188,0.9647152,0.15877973,0.94
33,0.10064284,0.9650316,0.1807341,0.93125
34,0.09539044,0.9678798,0.1551887,0.94624996
35,0.0938965,0.9674051,0.16865978,0.94
36,0.081450336,0.971519,0.16893946,0.9325
37,0.086309716,0.9703662,0.17864624,0.93874997
38,0.07117319,0.9765371,0.18701035,0.93125
39,0.07493529,0.97452533,0.17879331,0.93874997
40,0.07547146,0.9721519,0.16724586,0.94041663
41,0.056060802,0.9808092,0.14627798,0.95374995
42,0.05548208,0.9800633,0.15920942,0.945
43,0.05641238,0.9804928,0.1583537,0.95
44,0.052176107,0.9817586,0.15964583,0.9466666
45,0.046088856,0.98639244,0.22812602,0.94041663
46,0.049793873,0.98322785,0.19326286,0.9466666
47,0.04963575,0.9844937,0.18210426,0.94374996
48,0.051540606,0.98275316,0.15071727,0.9504166
49,0.046395946,0.98607594,0.19583507,0.94374996
50,0.038524654,0.98829114,0.16142187,0.9475
51,0.039334938,0.9890823,0.18237564,0.94874996
52,0.045621388,0.98560125,0.17073089,0.94624996
53,0.04164309,0.9875,0.20757395,0.93874997
54,0.046982188,0.98639244,0.1709592,0.93541664
55,0.04093597,0.9884494,0.15575477,0.9479166
56,0.05703667,0.9879747,0.18488505,0.945
57,0.04222474,0.9868671,0.19356693,0.9475
58,0.037089944,0.98829114,0.19959287,0.93541664
59,0.04192361,0.98765826,0.16865012,0.94624996
60,0.039329644,0.9862342,0.17057155,0.94374996
61,0.03777349,0.9879747,0.19434366,0.94458336
62,0.0411255,0.98765826,0.16817631,0.9466666
63,0.04139204,0.9871836,0.13546006,0.955
64,0.036082793,0.9892405,0.17283583,0.9475
65,0.045604825,0.98698014,0.18772657,0.9391666
66,0.040447783,0.9881329,0.14485748,0.9554166
67,0.041546173,0.9872514,0.15184744,0.94374996
68,0.044350307,0.9870253,0.1959797,0.94083333
69,0.04563977,0.98603076,0.15547837,0.955
70,0.043408778,0.9857595,0.14568976,0.95
71,0.047361467,0.98607594,0.15795937,0.9525
72,0.040937718,0.98824596,0.17428796,0.9516666
73,0.036450032,0.99003166,0.1835645,0.9466666
74,0.042769793,0.9868671,0.15934145,0.9475
75,0.04427856,0.9867089,0.1792638,0.9466666
76,0.055344917,0.98876584,0.12665957,0.96875
77,0.04200947,0.98876584,0.17044148,0.95
78,0.04414239,0.9851266,0.14951417,0.9541666
79,0.037480365,0.9881329,0.16118589,0.9466666
80,0.04394581,0.9867089,0.16768843,0.94624996
81,0.03932699,0.9879295,0.17539297,0.9425
82,0.04215964,0.9881329,0.16677952,0.9441666
83,0.04277666,0.9872966,0.14764912,0.9504166
84,0.03957342,0.9897152,0.13873692,0.96125
85,0.04310456,0.9889241,0.15730315,0.9504166
86,0.037262484,0.9881329,0.163422,0.95
87,0.037930075,0.9875,0.15284242,0.95624995
88,0.036597844,0.9899865,0.18191026,0.94624996
89,0.04005667,0.987613,0.16234928,0.95874995
90,0.04444665,0.9884494,0.12812155,0.96
91,0.04495246,0.98607594,0.17406274,0.945
92,0.038213406,0.9897152,0.16852576,0.94708335
93,0.044126708,0.98781645,0.14898446,0.9466666
94,0.040680617,0.9897152,0.13154545,0.95
95,0.04490345,0.9862342,0.18856384,0.94291663
96,0.04073335,0.9868671,0.15332988,0.955
97,0.037220236,0.9890823,0.16851373,0.9375
98,0.04201864,0.9858725,0.15273337,0.95374995
99,0.039519247,0.98876584,0.15706357,0.95
